Begin,Time,Batt_Current,Total_Power,3G,LCD,WIFI,CPU_1,CPU_2
124,1458473452586,0.38699999999999996,1092,0,0,0,13557,119
125,1458473453586,292,1084,0,0,0,13666,109
126,1458473454587,0.5539999999999999,1087,0,0,0,13782,116
127,1458473455586,312,1089,0,0,0,13879,97
128,1458473456586,409,1090,0,0,0,13982,103
129,1458473457588,0.33099999999999996,1088,0,0,0,14093,111
130,1458473458588,384,1089,0,0,0,14207,114
131,1458473459587,296,1089,0,0,0,14339,132
132,1458473460586,442,1085,0,0,0,14460,121
133,1458473461586,326,1088,0,0,0,14574,114
134,1458473462629,321,1081,0,0,0,14691,117
135,1458473463586,0.31,1086,0,0,0,14811,120
136,1458473464586,326,1091,0,0,0,14911,100
137,1458473465586,0.31,1090,0,0,0,15018,107
138,1458473466589,0.32999999999999996,1091,0,0,0,15135,117
139,1458473467587,299,1092,0,0,0,15238,103
140,1458473468587,345,1092,0,0,0,15338,100
141,1458473469585,316,1093,0,0,0,15444,106
142,1458473470590,367,1090,0,0,0,15537,93
143,1458473471591,353,1091,0,0,0,15638,101
144,1458473472586,325,1083,0,0,0,15734,96
145,1458473473586,284,1089,0,0,0,15832,98
146,1458473474587,314,1088,0,0,0,15927,95
147,1458473475586,289,1091,0,0,0,16024,97
148,1458473476586,366,1087,0,0,0,16145,121
149,1458473477617,345,1083,0,0,0,16274,129
150,1458473478587,0.33499999999999996,1091,0,0,0,16390,116
151,1458473479587,292,1092,0,0,0,16507,117
152,1458473480604,0.3,1083,0,0,0,16622,115
153,1458473481586,0.32,1089,0,0,0,16741,119
154,1458473482586,302,1097,0,0,0,16857,116
155,1458473483586,297,1093,0,0,0,16971,114
156,1458473484587,303,1089,0,0,0,17086,115
157,1458473485586,0.33599999999999997,1095,0,0,0,17198,112
158,1458473486587,309,1094,0,0,0,17288,90
159,1458473487586,292,1087,0,0,0,17389,101
160,1458473488587,0.27599999999999997,1092,0,0,0,17486,97
161,1458473489587,0.29,1088,0,0,0,17585,99
162,1458473490587,0.27399999999999997,1087,0,0,0,17681,96
163,1458473491587,296,1095,0,0,0,17773,92
164,1458473492630,0.29,1091,0,0,0,17896,123
165,1458473493587,298,1090,0,0,0,18026,130
166,1458473494597,288,1091,0,0,0,18152,126
167,1458473495587,352,1093,0,0,0,18263,111
168,1458473496597,361,1082,0,0,0,18368,105
169,1458473497586,0.38,1092,0,0,0,18473,105
170,1458473498591,0.44699999999999995,1090,0,0,0,18581,108
171,1458473499586,0.44899999999999995,1100,0,0,0,18691,110
172,1458473500586,351,1094,0,0,0,18801,110
173,1458473501587,0.45299999999999996,1092,0,0,0,18909,108
174,1458473502591,376,1090,0,0,0,18997,88
175,1458473503587,0.34299999999999997,1094,0,0,0,19104,107
176,1458473504590,0.33999999999999997,1092,0,0,0,19203,99
177,1458473505587,0.45599999999999996,1088,0,0,0,19311,108
178,1458473506586,366,1096,0,0,0,19392,81
179,1458473507621,381,1089,0,0,0,19484,92
180,1458473508594,383,1104,0,0,0,19580,96
181,1458473509586,432,1091,0,0,0,19679,99
182,1458473510586,418,1080,0,0,0,19777,98
183,1458473511594,515,1082,0,0,0,19876,99
184,1458473512587,407,1095,0,0,0,19976,100
185,1458473513589,0.53,1084,0,0,0,20086,110
186,1458473514587,356,1076,0,0,0,20214,128
187,1458473515589,317,1085,0,0,0,20326,112
188,1458473516585,324,1084,0,0,0,20431,105
189,1458473517592,257,1071,0,0,0,20548,117
190,1458473518587,0.32799999999999996,1078,0,0,0,20664,116
191,1458473519593,0.46299999999999997,1077,0,0,0,20785,121
192,1458473520588,,1087,0,0,0,20899,114
193,1458473521590,,1108,0,0,0,21015,116
194,1458473522622,,1092,0,0,0,21120,105
195,1458473523601,,1087,0,0,0,21228,108
196,1458473524588,,1088,0,0,0,21328,100
197,1458473525587,,1086,0,0,0,21328,101
198,1458473526587,,1093,0,0,0,21328,129
199,1458473527589,,1084,0,0,0,21429,135
200,1458473528592,,1081,0,0,0,21558,125
201,1458473529587,,1082,0,0,0,21693,115
202,1458473530588,,1074,0,0,0,21818,117
203,1458473531587,,1078,0,0,0,21933,107
204,1458473532585,,1081,0,0,0,22050,112
205,1458473533587,,1080,0,0,0,22157,122
206,1458473534587,,1089,0,0,0,22269,102
207,1458473535595,,1108,0,0,0,22391,107
208,1458473536587,,1097,0,0,0,22493,106
209,1458473537633,,1099,0,0,0,22600,112
210,1458473538588,,1085,0,0,0,22706,97
211,1458473539588,,1092,0,0,0,22818,102
212,1458473540589,,1088,0,0,0,22915,93
213,1458473541586,,1085,0,0,0,23017,95
214,1458473542587,,1091,0,0,0,23110,102
215,1458473543587,,1091,0,0,0,23205,102
216,1458473544586,,1084,0,0,0,23307,84
217,1458473545588,,1077,0,0,0,23409,94
218,1458473546587,,1088,0,0,0,23493,100
219,1458473547587,,1085,0,0,0,23587,93
220,1458473548588,,1080,0,0,0,23687,97
221,1458473549589,,1077,0,0,0,23780,140
222,1458473550588,,1085,0,0,0,23877,142
223,1458473551589,,1079,0,0,0,24017,122
224,1458473552618,,1088,0,0,0,24159,140
225,1458473553588,,1087,0,0,0,24281,133
226,1458473554587,,1770,0,0,0,24421,122
227,1458473555587,,1086,0,0,0,24554,127
228,1458473556587,,1084,0,0,0,24676,126
229,1458473557586,,1093,0,0,0,24803,131
230,1458473558588,,1105,0,0,0,24929,120
231,1458473559587,,1093,0,0,0,25060,116
232,1458473560588,,1094,0,0,0,25180,128
233,1458473561587,,1094,0,0,0,25296,126
234,1458473562587,,1095,0,0,0,25424,109
235,1458473563591,,1089,0,0,0,25550,126
236,1458473564588,,1093,0,0,0,25659,105
237,1458473565589,,1091,0,0,0,25785,121
238,1458473566587,,1091,0,0,0,25890,112
239,1458473567628,,1090,0,0,0,26011,102
240,1458473568593,,1099,0,0,0,26123,111
241,1458473569585,,1099,0,0,0,26225,199
242,1458473570588,,1113,0,0,0,26336,205
243,1458473571588,,1094,0,0,0,26535,237
244,1458473572587,,1083,0,0,0,26740,184
245,1458473573586,,1095,0,0,0,26977,199
246,1458473574589,,1100,0,0,0,26977,217
247,1458473575586,,1106,0,0,0,27161,189
248,1458473576586,,1778,0,0,0,27360,177
249,1458473577589,,1808,0,0,0,27577,186
250,1458473578590,,1813,0,0,0,27766,204
251,1458473579585,,1827,0,0,0,27943,195
252,1458473580587,,1796,0,0,0,28129,169
253,1458473581587,,1112,0,0,0,28333,167
254,1458473582622,,1116,0,0,0,28528,198
255,1458473583585,,1126,0,0,0,28697,176
256,1458473584586,,1106,0,0,0,28864,221
257,1458473585588,,1104,0,0,0,29062,166
258,1458473586587,,1108,0,0,0,29238,184
259,1458473587586,,1116,0,0,0,29459,192
260,1458473588587,,1099,0,0,0,29625,185
261,1458473589587,,1097,0,0,0,29809,195
262,1458473590585,,1100,0,0,0,30001,222
263,1458473591588,,1100,0,0,0,30186,207
264,1458473592587,,1100,0,0,0,30381,231
265,1458473593589,,1109,0,0,0,30603,210
266,1458473594585,,1100,0,0,0,30810,197
267,1458473595586,,1087,0,0,0,31041,183
268,1458473596585,,1096,0,0,0,31251,79
269,1458473597617,,1093,0,0,0,31448,
